REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,4.0667563682,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,23.529042759699998,122.5532250618
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,1.2985444329,
2OXOADPTm,,
34DHOXPEGOX,1.6598802850999999,0.0077786547
34DHOXPEGt,,
34DHPHAMT,0.0009827558,
34DHPHEt,,
34DHPLACOX,0.0033650328000000003,
34DHPLACOX_NADP_,0.0036801716999999997,0.0031662049
34DHXMANDACOX,0.0033611367,
34DHXMANDACOX_NADP_,0.0031727709999999996,0.0027164891
34HPLFM,,
34HPPOR,8.265e-07,
35CGMPtn,,
3AIBTm,0.0523958262,0.00037383809999999996
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.0009779404,
3HAO,0.0241735181,
3HBCDm,0.0026678031,0.0022672624
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,0.00010334959999999999,
3HPCOAHYD,0.026708974,
3HPPD,,
3HXKYNDCL,0.0208388633,
3HXKYNOXDA,0.19832045420000002,
3M4HDXPAC,0.0033650328000000003,0.0041795179
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.0033650328000000003,
3MOX4HOXPGALDOX_NADP_,0.0049269159,0.0041832658000000005
3MOXTYROX,0.19832045420000002,
3NTD7l,0.09672684890000001,
3SALAASPm,,
3SALACBOXL,5.22017e-05,
3SALAOX,,
3SALATAi,38.4259004133,
3SALATAim,9.7699241626,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.19832045420000002,
41R2A1H12BOOX,0.19832045420000002,
42A12BOOX,0.1642290693,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.00020619509999999998,
4HOXPACDOX_NADP_,0.0049269159,0.0042739419
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.040355787000000004,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,1.7743e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,0.0015089822,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,5.339e-07,
5HOXINDACTOXm,0.1496990824,
5HOXINOXDA,1.3430768063999998,
5HTRPDOX,0.0001983353,
5HTRPVESSEC,,
5HXKYNDCL,0.0015190275,
5HXKYNOXDA,0.19832045420000002,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.0011905435,
A_MANASEly,0.118278353,
A4GALTc,8.8041e-06,
A4GALTg,2.6509699999999998e-05,
A4GNT1g,3.2479999999999994e-07,
A4GNT2g,,
AACTOOR,0.00037813209999999997,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,0.0022138572,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,0.00037383809999999996,0.0523958262
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.31719107879999997,0.0225797039
ACACT1rm,0.0067533681000000005,
ACACT1x,0.0006849219,
ACACt2m,,
ACACT4p,0.0033941919,
ACACT5p,0.0033941919,
ACACT6p,0.0033941919,
ACACT7p,0.0033941919,
ACACT8p,0.0033941919,
ACACT9p,0.0033941919,
ACACtx,,
ACALDtm,,
