REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,10.5010472858,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,6.545994085599999,34.095423881799995
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,0.9717823626000001,
2OXOADPTm,,
34DHOXPEGOX,0.9108416281,0.0042684539
34DHOXPEGt,,
34DHPHAMT,0.0010085064,
34DHPHEt,,
34DHPLACOX,0.014105453799999999,
34DHPLACOX_NADP_,0.0120056892,0.0103289941
34DHXMANDACOX,0.0097912168,
34DHXMANDACOX_NADP_,0.010843340900000002,0.0092839405
34HPLFM,,
34HPPOR,3.2149e-06,
35CGMPtn,,
3AIBTm,0.024801237400000002,0.0001769539
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.00041085629999999996,
3HAO,0.002695851,
3HBCDm,0.0015150878,0.0012876143
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,1.94e-08,
3HPCOAHYD,0.004779386500000001,
3HPPD,,
3HXKYNDCL,3.9106e-06,
3HXKYNOXDA,0.013263891399999998,
3M4HDXPAC,0.014105453799999999,0.0175195904
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.014105453799999999,
3MOX4HOXPGALDOX_NADP_,0.0206525135,0.017535300900000002
3MOXTYROX,0.013263891399999998,
3NTD7l,0.2020677073,
3SALAASPm,,
3SALACBOXL,0.0001110225,
3SALAOX,,
3SALATAi,46.8272404017,
3SALATAim,7.727498636799999,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.013263891399999998,
41R2A1H12BOOX,0.013263891399999998,
42A12BOOX,0.011778481799999999,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.0032970875,
4HOXPACDOX_NADP_,0.0206525135,0.0179153948
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.023107822000000004,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,2.8796e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,2.832e-07,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,4.6015e-06,
5HOXINDACTOXm,0.0705202618,
5HOXINOXDA,0.08982646300000001,
5HTRPDOX,0.026758257999999997,
5HTRPVESSEC,,
5HXKYNDCL,2.8510000000000003e-07,
5HXKYNOXDA,0.013263891399999998,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.0035964169,
A_MANASEly,0.3004797552,
A4GALTc,0.0004603793,
A4GALTg,0.0013862384,
A4GNT1g,1.35e-08,
A4GNT2g,,
AACTOOR,0.0009789955,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,0.0002609688,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,0.0001769539,0.024801237400000002
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.15459580109999999,0.0110051248
ACACT1rm,0.004742936,
ACACT1x,0.0001590322,
ACACt2m,,
ACACT4p,0.0039228727,
ACACT5p,0.0039228727,
ACACT6p,0.0039228727,
ACACT7p,0.0039228727,
ACACT8p,0.0039228727,
ACACT9p,0.0039228727,
ACACtx,,
ACALDtm,,
ACALDtr,,
ACALDtx,,
