REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,237.8666353598,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,5.1572236086,26.861882655
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,0.7534551664,
2OXOADPTm,,
34DHOXPEGOX,1.6572798844999999,0.0077664685
34DHOXPEGt,,
34DHPHAMT,0.0008504014999999999,
34DHPHEt,,
34DHPLACOX,0.011406021399999999,
34DHPLACOX_NADP_,0.0108242834,0.0093125815
34DHXMANDACOX,0.0114045058,
34DHXMANDACOX_NADP_,0.0081677776,0.0069931548
34HPLFM,,
34HPPOR,2.60464e-05,
35CGMPtn,,
3AIBTm,0.4561171257,0.0032543427
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.0004049694,
3HAO,0.0027816622,
3HBCDm,0.0047772985999999995,0.0040600408
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,0.000357419,
3HPCOAHYD,0.0126610134,
3HPPD,,
3HXKYNDCL,0.07206807259999999,
3HXKYNOXDA,0.0771934552,
3M4HDXPAC,0.011406021399999999,0.014166777299999999
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.011406021399999999,
3MOX4HOXPGALDOX_NADP_,0.016700137,0.014179481200000002
3MOXTYROX,0.0771934552,
3NTD7l,0.0161141214,
3SALAASPm,,
3SALACBOXL,0.00014751049999999998,
3SALAOX,,
3SALATAi,15.559659959600001,
3SALATAim,10.3599217968,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.0771934552,
41R2A1H12BOOX,0.0771934552,
42A12BOOX,0.0822799198,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.0012815825,
4HOXPACDOX_NADP_,0.016700137,0.0144868346
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.0328199793,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,1.7575e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,0.005218588,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,7.74e-07,
5HOXINDACTOXm,0.2412432348,
5HOXINOXDA,0.5227738092,
5HTRPDOX,3.6377e-06,
5HTRPVESSEC,,
5HXKYNDCL,0.0052533279,
5HXKYNOXDA,0.0771934552,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.0020034958,
A_MANASEly,0.1199274173,
A4GALTc,7.4903e-05,
A4GALTg,0.00022553900000000002,
A4GNT1g,2.1582e-06,
A4GNT2g,,
AACTOOR,0.0222195719,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,0.0070470921,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,0.0032543427,0.4561171257
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.1403884643,0.0099937551
ACACT1rm,0.0038131912,
ACACT1x,0.0005005181,
ACACt2m,,
ACACT4p,0.0051514142,
ACACT5p,0.0051514142,
ACACT6p,0.0051514142,
ACACT7p,0.0051514142,
ACACT8p,0.0051514142,
ACACT9p,0.0051514142,
ACACtx,,
ACALDtm,,
ACALDtr,,
ACALDtx,,
ACCOACm,1.99556e-05,
