REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,11.916929259000002,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,2.9733061843,15.486744008399999
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,0.5658595749,
2OXOADPTm,,
34DHOXPEGOX,0.9755507348000001,0.0045716985
34DHOXPEGt,,
34DHPHAMT,0.0007288289,
34DHPHEt,,
34DHPLACOX,0.022829155,
34DHPLACOX_NADP_,0.0269656573,0.0231996773
34DHXMANDACOX,0.022742629599999998,
34DHXMANDACOX_NADP_,0.0269290995,0.0230563773
34HPLFM,,
34HPPOR,7.5557e-06,
35CGMPtn,,
3AIBTm,1.9059693927,0.01359887
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.0007698455000000001,
3HAO,0.0034952821,
3HBCDm,0.020114328,0.0170943872
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,1.1100000000000002e-08,
3HPCOAHYD,0.013466548899999998,
3HPPD,,
3HXKYNDCL,2.2282e-06,
3HXKYNOXDA,0.2528749463,
3M4HDXPAC,0.022829155,0.0283548086
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.022829155,
3MOX4HOXPGALDOX_NADP_,0.0334253288,0.028380235499999996
3MOXTYROX,0.2528749463,
3NTD7l,0.1415167336,
3SALAASPm,,
3SALACBOXL,0.000944029,
3SALAOX,,
3SALATAi,15.554091570399999,
3SALATAim,5.8190695109,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.2528749463,
41R2A1H12BOOX,0.2528749463,
42A12BOOX,0.20992856210000002,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.0003831454,
4HOXPACDOX_NADP_,0.0334253288,0.028995403399999998
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.10121005460000002,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,2.8796e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,1.613e-07,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,5.537e-07,
5HOXINDACTOXm,0.0648635461,
5HOXINOXDA,1.7125337706000001,
5HTRPDOX,0.0014100973,
5HTRPVESSEC,,
5HXKYNDCL,1.6239999999999997e-07,
5HXKYNOXDA,0.2528749463,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.009519937,
A_MANASEly,0.1116064408,
A4GALTc,9.31617e-05,
A4GALTg,0.0002805173,
A4GNT1g,4.75e-08,
A4GNT2g,,
AACTOOR,0.0011083996000000001,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,0.0126516263,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,0.01359887,1.9059693927
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.1774893307,0.0126348337
ACACT1rm,0.0042386561,
ACACT1x,0.0001155419,
ACACt2m,,
ACACT4p,0.0090852236,
ACACT5p,0.0090852236,
ACACT6p,0.0090852236,
ACACT7p,0.0090852236,
ACACT8p,0.0090852236,
ACACT9p,0.0090852236,
ACACtx,,
ACALDtm,,
ACALDtr,,
ACALDtx,,
ACCOACm,2.29881e-05,
