REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,1.5273275304,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,10.0238004797,52.209904529700005
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,0.5811569226,
2OXOADPTm,,
34DHOXPEGOX,1.566097255,0.0073391616000000005
34DHOXPEGt,,
34DHPHAMT,0.0008920753,
34DHPHEt,,
34DHPLACOX,0.0134626156,
34DHPLACOX_NADP_,0.0196485708,0.0169044832
34DHXMANDACOX,0.0134580554,
34DHXMANDACOX_NADP_,0.0187891957,0.0160870877
34HPLFM,,
34HPPOR,1.1215999999999999e-05,
35CGMPtn,,
3AIBTm,0.015508960700000001,0.00011065459999999999
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.0008197926,
3HAO,0.0021929997,
3HBCDm,0.0018535079,0.0015752245
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,2.1e-08,
3HPCOAHYD,0.0056230639,
3HPPD,,
3HXKYNDCL,4.2298000000000006e-06,
3HXKYNOXDA,0.017095104,
3M4HDXPAC,0.0134626156,0.0167211572
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.0134626156,
3MOX4HOXPGALDOX_NADP_,0.019711301299999998,0.0167361517
3MOXTYROX,0.017095104,
3NTD7l,0.2580626236,
3SALAASPm,,
3SALACBOXL,0.0009915691000000001,
3SALAOX,,
3SALATAi,11.2295350269,
3SALATAim,3.2364591998,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.017095104,
41R2A1H12BOOX,0.017095104,
42A12BOOX,0.014247866699999999,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.00040507589999999995,
4HOXPACDOX_NADP_,0.019711301299999998,0.0170989233
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.0238075359,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,1.7562e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,3.063e-07,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,6.086e-07,
5HOXINDACTOXm,0.0254473994,
5HOXINOXDA,0.1157724141,
5HTRPDOX,4.19704e-05,
5HTRPVESSEC,,
5HXKYNDCL,3.083e-07,
5HXKYNOXDA,0.017095104,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.0068717016,
A_MANASEly,0.45823917090000005,
A4GALTc,0.00017445630000000002,
A4GALTg,0.0005253017,
A4GNT1g,3.92e-08,
A4GNT2g,,
AACTOOR,0.0001271794,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,1.98152e-05,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,0.00011065459999999999,0.015508960700000001
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.042939982599999996,0.0030567445000000003
ACACT1rm,0.0011989519999999999,
ACACT1x,5.52387e-05,
ACACt2m,,
ACACT4p,0.005140507,
ACACT5p,0.005140507,
ACACT6p,0.005140507,
ACACT7p,0.005140507,
ACACT8p,0.005140507,
ACACT9p,0.005140507,
ACACtx,,
ACALDtm,,
ACALDtr,,
ACALDtx,,
