REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,39.0914153011,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,1.7669337868000001,9.2032402787
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,0.7177455225,
2OXOADPTm,,
34DHOXPEGOX,1.924935289,0.009020775200000001
34DHOXPEGt,,
34DHPHAMT,0.0017188129999999998,
34DHPHEt,,
34DHPLACOX,0.7750468256,
34DHPLACOX_NADP_,0.0050417728,0.0043376469
34DHXMANDACOX,0.7725583565,
34DHXMANDACOX_NADP_,0.0049085383,0.0042026326
34HPLFM,,
34HPPOR,5.0298000000000005e-06,
35CGMPtn,,
3AIBTm,1.3101376765000001,0.00934768
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.00038000370000000004,
3HAO,0.0067493739,
3HBCDm,0.0796780286,0.0677152664
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,3.221e-07,
3HPCOAHYD,0.0162231495,
3HPPD,,
3HXKYNDCL,6.4947e-05,
3HXKYNOXDA,0.09391498390000001,
3M4HDXPAC,0.7750468256,0.9626420454000001
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.7750468256,
3MOX4HOXPGALDOX_NADP_,1.1347855409,0.9635052857999999
3MOXTYROX,0.09391498390000001,
3NTD7l,28.3911069493,
3SALAASPm,,
3SALACBOXL,0.0018414585999999998,
3SALAOX,,
3SALATAi,16.8822261175,
3SALATAim,11.5591158389,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.09391498390000001,
41R2A1H12BOOX,0.09391498390000001,
42A12BOOX,0.080658217,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.0190770923,
4HOXPACDOX_NADP_,1.1347855409,0.9843901527
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.0277176789,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,2.8796e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,4.7029e-06,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,6.7838999999999995e-06,
5HOXINDACTOXm,0.1391908945,
5HOXINOXDA,0.6360162752,
5HTRPDOX,3.19709e-05,
5HTRPVESSEC,,
5HXKYNDCL,4.7342e-06,
5HXKYNOXDA,0.09391498390000001,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.005799566700000001,
A_MANASEly,0.2248596443,
A4GALTc,0.0003060847,
A4GALTg,0.0009216450999999999,
A4GNT1g,7.1e-09,
A4GNT2g,,
AACTOOR,0.0036382378999999998,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,2.60666e-05,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,0.00934768,1.3101376765000001
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.1155745509,0.0082273409
ACACT1rm,0.0038534247999999997,
ACACT1x,0.0016663564,
ACACt2m,,
ACACT4p,0.0394287285,
ACACT5p,0.0394287285,
ACACT6p,0.0394287285,
ACACT7p,0.0394287285,
ACACT8p,0.0394287285,
ACACT9p,0.0394287285,
ACACtx,,
ACALDtm,,
ACALDtr,,
