REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,0.6449743511,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,5.5031273328,28.663554631
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,0.8153785317,
2OXOADPTm,,
34DHOXPEGOX,3.1220517894,0.0146307917
34DHOXPEGt,,
34DHPHAMT,0.0007690382000000001,
34DHPHEt,,
34DHPLACOX,0.0432167284,
34DHPLACOX_NADP_,0.0464954509,0.0400019715
34DHXMANDACOX,0.043207649400000006,
34DHXMANDACOX_NADP_,0.0017136079000000001,0.0014671709
34HPLFM,,
34HPPOR,1.9844e-06,
35CGMPtn,,
3AIBTm,0.0685047433,0.0004887734
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.0010499734,
3HAO,0.0019993978,
3HBCDm,0.0035458519,0.003013482
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,4.9e-09,
3HPCOAHYD,0.0582950206,
3HPPD,,
3HXKYNDCL,9.835e-07,
3HXKYNOXDA,0.0336232129,
3M4HDXPAC,0.0432167284,0.0536770663
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.0432167284,
3MOX4HOXPGALDOX_NADP_,0.0632758137,0.0537252007
3MOXTYROX,0.0336232129,
3NTD7l,0.18320464190000002,
3SALAASPm,,
3SALACBOXL,0.000614411,
3SALAOX,,
3SALATAi,20.9901693742,
3SALATAim,7.3241115808,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.0336232129,
41R2A1H12BOOX,0.0336232129,
42A12BOOX,0.0278399085,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.0012630311,
4HOXPACDOX_NADP_,0.0632758137,0.054889744000000004
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.0189270468,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,2.8796e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,7.12e-08,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,6.049999999999999e-08,
5HOXINDACTOXm,0.0291228519,
5HOXINOXDA,0.22770499149999998,
5HTRPDOX,0.0037198348,
5HTRPVESSEC,,
5HXKYNDCL,7.17e-08,
5HXKYNOXDA,0.0336232129,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.0019900937,
A_MANASEly,0.1604578101,
A4GALTc,0.0015160885999999998,
A4GALTg,0.0045650624,
A4GNT1g,1.78e-08,
A4GNT2g,,
AACTOOR,3.77074e-05,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,0.00038274800000000003,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,0.0004887734,0.0685047433
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.07033452650000001,0.0050068646
ACACT1rm,0.0023183719,
ACACT1x,0.0005269754,
ACACt2m,,
ACACT4p,0.0025018536,
ACACT5p,0.0025018536,
ACACT6p,0.0025018536,
ACACT7p,0.0025018536,
ACACT8p,0.0025018536,
ACACT9p,0.0025018536,
ACACtx,,
ACALDtm,,
ACALDtr,,
ACALDtx,,
ACCOACm,5.117e-06,
ACCOAgt,,
