REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,1.7295747221000002,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,6.989570595700001,36.4058337198
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,0.47007812920000003,
2OXOADPTm,,
34DHOXPEGOX,0.8308622237000001,0.0038936484999999997
34DHOXPEGt,,
34DHPHAMT,0.0007631093,
34DHPHEt,,
34DHPLACOX,0.0095463903,
34DHPLACOX_NADP_,0.0127546522,0.0109733581
34DHXMANDACOX,0.0054234842,
34DHXMANDACOX_NADP_,0.012463691899999999,0.010671266
34HPLFM,,
34HPPOR,2.60042e-05,
35CGMPtn,,
3AIBTm,0.1395271663,0.0009955101
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.0005783537,
3HAO,0.0016966906,
3HBCDm,0.0006537655999999999,0.00055561
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,2.728e-06,
3HPCOAHYD,0.004524561,
3HPPD,,
3HXKYNDCL,0.0005500675,
3HXKYNOXDA,0.0024734346,
3M4HDXPAC,0.0095463903,0.011857034099999999
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.0095463903,
3MOX4HOXPGALDOX_NADP_,0.013977356299999999,0.0118676668
3MOXTYROX,0.0024734346,
3NTD7l,0.058603206399999996,
3SALAASPm,,
3SALACBOXL,0.0013519570000000002,
3SALAOX,,
3SALATAi,19.2678831315,
3SALATAim,2.833158343,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.0024734346,
41R2A1H12BOOX,0.0024734346,
42A12BOOX,0.0021786743,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.0011718338,
4HOXPACDOX_NADP_,0.013977356299999999,0.0121249094
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.0473415515,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,1.7553e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,3.98315e-05,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,3.876e-07,
5HOXINDACTOXm,0.0383375413,
5HOXINOXDA,0.0167507313,
5HTRPDOX,0.0021057396,
5HTRPVESSEC,,
5HXKYNDCL,4.00966e-05,
5HXKYNOXDA,0.0024734346,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.0033646166999999998,
A_MANASEly,0.09443627439999999,
A4GALTc,0.0001306696,
A4GALTg,0.0003934566,
A4GNT1g,1.168e-07,
A4GNT2g,,
AACTOOR,0.0001457242,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,9.03599e-05,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,0.0009955101,0.1395271663
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.0961595858,0.0068452586
ACACT1rm,0.0024692602,
ACACT1x,0.0001511886,
ACACt2m,,
ACACT4p,0.0047985202,
ACACT5p,0.0047985202,
ACACT6p,0.0047985202,
ACACT7p,0.0047985202,
ACACT8p,0.0047985202,
ACACT9p,0.0047985202,
ACACtx,,
ACALDtm,,
ACALDtr,,
ACALDtx,,
