REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,0.8125121953,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,8.518847813999999,44.371217481
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,0.801557966,
2OXOADPTm,,
34DHOXPEGOX,1.7515273665,0.0082081381
34DHOXPEGt,,
34DHPHAMT,0.0009083778,
34DHPHEt,,
34DHPLACOX,0.005843699,
34DHPLACOX_NADP_,0.0052936867,0.004554379
34DHXMANDACOX,0.0036180438,
34DHXMANDACOX_NADP_,0.0051253691999999995,0.0043882807
34HPLFM,,
34HPPOR,9.314800000000001e-06,
35CGMPtn,,
3AIBTm,0.0209062491,0.0001491637
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.000269518,
3HAO,0.0028571936,
3HBCDm,0.0027714801000000002,0.0023553735
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,2.02e-08,
3HPCOAHYD,0.030068247000000003,
3HPPD,,
3HXKYNDCL,4.0739e-06,
3HXKYNOXDA,0.00257473,
3M4HDXPAC,0.005843699,0.0072581297
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.005843699,
3MOX4HOXPGALDOX_NADP_,0.0085560574,0.0072646383
3MOXTYROX,0.00257473,
3NTD7l,0.0719149169,
3SALAASPm,,
3SALACBOXL,0.000250282,
3SALAOX,,
3SALATAi,21.6161691187,
3SALATAim,6.9762166849,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.00257473,
41R2A1H12BOOX,0.00257473,
42A12BOOX,0.0021911522,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.0012731907,
4HOXPACDOX_NADP_,0.0085560574,0.0074221061
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.0399144361,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,1.7556e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,2.95e-07,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,1.685e-07,
5HOXINDACTOXm,0.0416335824,
5HOXINOXDA,0.0174367293,
5HTRPDOX,0.0001745116,
5HTRPVESSEC,,
5HXKYNDCL,2.9699999999999997e-07,
5HXKYNOXDA,0.00257473,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.0018601416,
A_MANASEly,0.1022658505,
A4GALTc,9.50671e-05,
A4GALTg,0.0002862546,
A4GNT1g,9.38e-08,
A4GNT2g,,
AACTOOR,6.68887e-05,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,0.0007385044,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,0.0001491637,0.0209062491
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.11969176150000001,0.0085204305
ACACT1rm,0.003756353,
ACACT1x,0.0002745533,
ACACt2m,,
ACACT4p,0.0022433385000000003,
ACACT5p,0.0022433385000000003,
ACACT6p,0.0022433385000000003,
ACACT7p,0.0022433385000000003,
ACACT8p,0.0022433385000000003,
ACACT9p,0.0022433385000000003,
ACACtx,,
ACALDtm,,
ACALDtr,,
ACALDtx,,
ACCOACm,6.5749e-06,
