REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,6.232514825599999,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,10.3910329228,54.122669138
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,2.2468372354,
2OXOADPTm,,
34DHOXPEGOX,5.0539088285,0.023684004100000003
34DHOXPEGt,,
34DHPHAMT,0.0008110467,
34DHPHEt,,
34DHPLACOX,0.9170747558,
34DHPLACOX_NADP_,0.1051975204,0.090505805
34DHXMANDACOX,0.8467883626,
34DHXMANDACOX_NADP_,0.1050598222,0.08995098039999999
34HPLFM,,
34HPPOR,3.6309e-06,
35CGMPtn,,
3AIBTm,3.2632118074000003,0.023282636800000003
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.0004124164,
3HAO,0.00034205790000000003,
3HBCDm,0.0043511125,0.0036978416999999997
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,9.35e-07,
3HPCOAHYD,0.0039620424,
3HPPD,,
3HXKYNDCL,0.0001885348,
3HXKYNOXDA,0.4248754301,
3M4HDXPAC,0.9170747558,1.1390469447
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.9170747558,
3MOX4HOXPGALDOX_NADP_,1.3427358689,1.1400683746
3MOXTYROX,0.4248754301,
3NTD7l,9.5950705639,
3SALAASPm,,
3SALACBOXL,0.0006573875,
3SALAOX,,
3SALATAi,37.5473426585,
3SALATAim,8.5265639628,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.4248754301,
41R2A1H12BOOX,0.4248754301,
42A12BOOX,0.3516464712,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.007374027900000001,
4HOXPACDOX_NADP_,1.3427358689,1.1647804095
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.014147103000000001,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,2.8796e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,1.36522e-05,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,7.711e-07,
5HOXINDACTOXm,0.0550130468,
5HOXINOXDA,2.8773650101,
5HTRPDOX,0.0001910994,
5HTRPVESSEC,,
5HXKYNDCL,1.3743099999999999e-05,
5HXKYNOXDA,0.4248754301,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.0022955565,
A_MANASEly,0.0912982795,
A4GALTc,8.146600000000001e-05,
A4GALTg,0.0002453005,
A4GNT1g,2.25e-08,
A4GNT2g,,
AACTOOR,0.0005793132,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,2.2285900000000003e-05,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,0.023282636800000003,3.2632118074000003
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.346852305,0.024691181
ACACT1rm,0.012240208899999999,
ACACT1x,0.0007847501,
ACACt2m,,
ACACT4p,0.030153549300000002,
ACACT5p,0.030153549300000002,
ACACT6p,0.030153549300000002,
ACACT7p,0.030153549300000002,
ACACT8p,0.030153549300000002,
ACACT9p,0.030153549300000002,
ACACtx,,
ACALDtm,,
ACALDtr,,
ACALDtx,,
