REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,0.2475735557,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,2.7598915607,14.375153933499998
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,1.1104195362,
2OXOADPTm,,
34DHOXPEGOX,1.6236626715,0.007608929
34DHOXPEGt,,
34DHPHAMT,0.0019237376999999998,
34DHPHEt,,
34DHPLACOX,0.0036535703,
34DHPLACOX_NADP_,0.0052771784,0.0045401762
34DHXMANDACOX,0.0024216356,
34DHXMANDACOX_NADP_,0.0052644232999999995,0.004507337100000001
34HPLFM,,
34HPPOR,1.7143e-06,
35CGMPtn,,
3AIBTm,16.4398605403,0.1172964933
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.0014255833,
3HAO,0.0004236003,
3HBCDm,0.0003322942,0.000282404
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,8.279999999999999e-08,
3HPCOAHYD,0.0165046504,
3HPPD,,
3HXKYNDCL,1.66927e-05,
3HXKYNOXDA,0.128759004,
3M4HDXPAC,0.0036535703,0.004537894099999999
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.0036535703,
3MOX4HOXPGALDOX_NADP_,0.0053493785,0.0045419634000000006
3MOXTYROX,0.128759004,
3NTD7l,0.0415609515,
3SALAASPm,,
3SALACBOXL,0.0073870184,
3SALAOX,,
3SALATAi,20.0670972071,
3SALATAim,4.333195471,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.128759004,
41R2A1H12BOOX,0.128759004,
42A12BOOX,0.10643938210000001,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.0056048027000000005,
4HOXPACDOX_NADP_,0.0053493785,0.0046404147
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.0248053536,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,2.8796e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,1.2088e-06,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,1.945e-07,
5HOXINDACTOXm,0.3351888422,
5HOXINOXDA,0.8719888856,
5HTRPDOX,1.5503e-06,
5HTRPVESSEC,,
5HXKYNDCL,1.2168000000000001e-06,
5HXKYNOXDA,0.128759004,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.0030673152,
A_MANASEly,0.0507035935,
A4GALTc,3.1175e-05,
A4GALTg,9.387049999999999e-05,
A4GNT1g,1.54e-08,
A4GNT2g,,
AACTOOR,1.8006e-05,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,8.67817e-05,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,0.1172964933,16.4398605403
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.40259318270000005,0.028659175699999997
ACACT1rm,0.0139959952,
ACACT1x,0.0013772892000000001,
ACACt2m,,
ACACT4p,0.0092419164,
ACACT5p,0.0092419164,
ACACT6p,0.0092419164,
ACACT7p,0.0092419164,
ACACT8p,0.0092419164,
ACACT9p,0.0092419164,
ACACtx,,
ACALDtm,,
ACALDtr,,
ACALDtx,,
