REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,4.0164412523,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,2.4562394746000002,12.793553575999999
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,0.8918441414,
2OXOADPTm,,
34DHOXPEGOX,1.7365186343,0.008137803
34DHOXPEGt,,
34DHPHAMT,0.0036103446000000003,
34DHPHEt,,
34DHPLACOX,0.0058648436,
34DHPLACOX_NADP_,0.0085821756,0.0073836029
34DHXMANDACOX,0.005863158,
34DHXMANDACOX_NADP_,0.0085777162,0.0073441394
34HPLFM,,
34HPPOR,9.865e-07,
35CGMPtn,,
3AIBTm,13.483196120999999,0.0962010365
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.0005464554,
3HAO,0.0004356618,
3HBCDm,0.00013935760000000002,0.00011843459999999999
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,4.7401e-06,
3HPCOAHYD,0.0100101493,
3HPPD,,
3HXKYNDCL,0.0009557663,
3HXKYNOXDA,0.0067214675,
3M4HDXPAC,0.0058648436,0.0072843922
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.0058648436,
3MOX4HOXPGALDOX_NADP_,0.0085870163,0.007290924399999999
3MOXTYROX,0.0067214675,
3NTD7l,0.0311557852,
3SALAASPm,,
3SALACBOXL,0.0023163355,
3SALAOX,,
3SALATAi,18.5185886875,
3SALATAim,5.4104545925,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.0067214675,
41R2A1H12BOOX,0.0067214675,
42A12BOOX,0.005867359599999999,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.0007923467,
4HOXPACDOX_NADP_,0.0085870163,0.0074489618999999995
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.029533774300000003,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,2.8796e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,6.92089e-05,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,7.990000000000001e-08,
5HOXINDACTOXm,0.1118016176,
5HOXINOXDA,0.0455194957,
5HTRPDOX,5.556e-07,
5HTRPVESSEC,,
5HXKYNDCL,6.96696e-05,
5HXKYNOXDA,0.0067214675,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.0189527341,
A_MANASEly,0.1473076365,
A4GALTc,1.71405e-05,
A4GALTg,5.16113e-05,
A4GNT1g,4.389e-07,
A4GNT2g,,
AACTOOR,0.00034965589999999997,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,0.0001712842,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,0.0962010365,13.483196120999999
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.1545565585,0.0110023313
ACACT1rm,0.0053930735,
ACACT1x,0.000666661,
ACACt2m,,
ACACT4p,0.0099847814,
ACACT5p,0.0099847814,
ACACT6p,0.0099847814,
ACACT7p,0.0099847814,
ACACT8p,0.0099847814,
ACACT9p,0.0099847814,
ACACtx,,
ACALDtm,,
ACALDtr,,
ACALDtx,,
ACCOACm,6.728e-07,
