REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
10FTHF5GLUtl,,
10FTHF5GLUtm,,
10FTHF6GLUtl,,
10FTHF6GLUtm,,
10FTHF7GLUtl,,
10FTHF7GLUtm,,
10FTHFtl,,
10FTHFtm,,
11DOCRTSLtm,,
11DOCRTSLtr,,
11DOCRTSTRNtm,,
11DOCRTSTRNtr,,
13DAMPPOX,0.3280879638,
1a_24_25VITD2Hm,,
1a_24_25VITD3Hm,,
1a_25VITD2Hm,,
1a_25VITD3Hm,,
1MNCAMti,,
1PPDCRp,,
24_25DHVITD2t,,
24_25DHVITD2tm,,
24_25DHVITD3t,,
24_25DHVITD3tm,,
24_25VITD2Hm,,
24_25VITD3Hm,,
24NPHte,,
25HVITD2t,,
25HVITD2tin,,
25HVITD2tin_m,,
25HVITD2tm,,
25HVITD3t,,
25HVITD3tin_m,,
25HVITD3tm,,
25VITD2Hm,,
25VITD3Hm,,
2AMACHYD,,
2AMACSULT,,
2AMADPTm,,
2DR1PP,,
2HBO,3.8257561702999996,19.9268096775
2HBt2,,
2HCO3_NAt,,
2MCITt,,
2OXOADOXm,0.8833428256999999,
2OXOADPTm,,
34DHOXPEGOX,1.6382977081999999,0.0076775128
34DHOXPEGt,,
34DHPHAMT,0.001595749,
34DHPHEt,,
34DHPLACOX,0.0029800103999999997,
34DHPLACOX_NADP_,0.0042803215,0.0036825386999999998
34DHXMANDACOX,0.0029764815,
34DHXMANDACOX_NADP_,0.0042718038,0.003657468
34HPLFM,,
34HPPOR,2.8645999999999996e-06,
35CGMPtn,,
3AIBTm,11.2940580343,0.0805817908
3AIBtmi,,
3DPHBH1,,
3DPHBH2,,
3DSPHR,0.0009987105,
3HAO,0.0034272275,
3HBCDm,0.00137915,0.0011720861
3HBCOAHLm,,
3HKYNAKGAT,0.0001143876,
3HLYTCL,6.52e-08,
3HPCOAHYD,0.0175395046,
3HPPD,,
3HXKYNDCL,1.31503e-05,
3HXKYNOXDA,0.068578933,
3M4HDXPAC,0.0029800103999999997,0.0037013032
3MLDAt,,
3MOBt2im,,
3MOPt2im,,
3MOX4HOXPGALDOX,0.0029800103999999997,
3MOX4HOXPGALDOX_NADP_,0.004363185,0.0037046223
3MOXTYROX,0.068578933,
3NTD7l,0.023038990899999997,
3SALAASPm,,
3SALACBOXL,0.0080466618,
3SALAOX,,
3SALATAi,17.458021442899998,
3SALATAim,4.1700640076,
3SPYRSP,,
3SPYRSPm,,
41R1H2MAE12BOOX,0.068578933,
41R2A1H12BOOX,0.068578933,
42A12BOOX,0.0567064193,
4ABUTtm,,
4HBZCOAFm,,
4HBZFm,,
4HDEBRISOQUINEte,,
4HGLSDm,0.016940764,
4HOXPACDOX_NADP_,0.004363185,0.0037849234
4MOPt2im,,
4MPTNLte,,
4MPTNLtm,,
4MPTNLtr,,
4MTOLBUTAMIDEte,,
4NPHSFte,,
4NPHSULT,0.028711239500000003,
4NPHte,,
4PYRDX,,
5ADTSTSTERONEGLCte,,
5ADTSTSTERONEGLCtr,,
5ADTSTSTERONESte,,
5ADTSTSTERONESULT,1.7555000000000002e-06,
5ADTSTSTERONEte,,
5ADTSTSTERONEtr,,
5AOPtm,,
5DHFtl,,
5FTHFt2,,
5HLTDL,9.522e-07,
5HOMEPRAZOLEte,,
5HOXINDACTO2OX,2.0699999999999997e-08,
5HOXINDACTOXm,0.4258784644,
5HOXINOXDA,0.4644340626,
5HTRPDOX,1.0699999999999999e-07,
5HTRPVESSEC,,
5HXKYNDCL,9.586e-07,
5HXKYNOXDA,0.068578933,
5MTHFt,,
5MTHFt2,,
5THFtl,,
5THFtm,,
6DHFtl,,
6DHFtm,,
6HTSTSTERONEte,,
6HTSTSTERONEtr,,
6THFtl,,
6THFtm,,
7DHCHSTEROLtr,,
7DHFtl,,
7DHFtm,,
7THFtl,,
7THFtm,,
A_MANASE,0.014359061499999999,
A_MANASEly,0.0875336191,
A4GALTc,1.95819e-05,
A4GALTg,5.8962600000000004e-05,
A4GNT1g,2.6309999999999997e-07,
A4GNT2g,,
AACTOOR,1.17047e-05,
AACTtm,,
AASAD3m,,
AATAi,0.0,0.0
ABO1g,6.29134e-05,
ABO2g,,
ABO3g,,
ABO4g,,
ABO5g,,
ABO6g,,
ABO7g,,
ABO8g,,
ABO9g,,
ABTArm,0.0805817908,11.2940580343
ABTD,,
ABTti,,
ABUTt2rL,,
ABUTt4_2_r,,
ACACT10m,0.3470704522,0.0247067102
ACACT1rm,0.012002713500000001,
ACACT1x,0.0002532384,
ACACt2m,,
ACACT4p,0.020080334,
ACACT5p,0.020080334,
ACACT6p,0.020080334,
ACACT7p,0.020080334,
ACACT8p,0.020080334,
ACACT9p,0.020080334,
ACACtx,,
ACALDtm,,
ACALDtr,,
ACALDtx,,
